facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
140191,INGALLS MEMORIAL HOSPITAL,14.3,5.2,34.3,1.04,2.0,2.0,2.0
140200,ELMHURST MEMORIAL HOSPITAL,11.4,3.6,7.6,1.0,3.0,1.0,4.0
140202,ADVOCATE CONDELL MEDICAL CENTER,12.0,3.1,7.3,0.97,3.0,1.0,4.0
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,10.7,3.3,9.3,1.0,1.0,1.0,3.0
150015,FRANCISCAN HEALTH MICHIGAN CITY,11.9,3.4,-11.1,0.97,0.0,0.0,3.0
150035,NORTHWEST HEALTH - PORTER,12.4,2.9,15.7,1.05,3.0,2.0,3.0
150042,GOOD SAMARITAN HOSPITAL,13.2,3.2,-12.2,1.11,1.0,0.0,3.0
150044,BAPTIST HEALTH FLOYD,12.6,4.3,-4.3,1.12,1.0,0.0,2.0
150048,REID HEALTH,14.2,3.6,-13.3,1.0,1.0,1.0,4.0
150109,FRANCISCAN HEALTH LAFAYETTE,15.0,2.9,-3.6,0.99,1.0,0.0,3.0
150113,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,14.7,3.4,-21.4,1.04,1.0,0.0,3.0
150125,COMMUNITY HOSPITAL,13.5,6.0,11.9,1.11,2.0,3.0,2.0
150126,FRANCISCAN HEALTH CROWN POINT,13.2,3.7,-24.3,1.02,0.0,1.0,2.0
150128,"COMMUNITY HOSPITAL SOUTH, INC.",12.4,3.2,-10.5,1.06,1.0,1.0,2.0
150162,FRANCISCAN HEALTH INDIANAPOLIS,11.2,4.0,-17.9,0.99,1.0,2.0,2.0
160047,METHODIST JENNIE EDMUNDSON,10.5,3.2,15.5,0.97,0.0,2.0,3.0
160067,MERCYONE WATERLOO MEDICAL CENTER,11.8,3.2,-5.7,0.91,1.0,0.0,4.0
160110,ALLEN HOSPITAL,11.3,4.5,0.5,0.92,1.0,0.0,4.0
170012,SALINA REGIONAL HEALTH CENTER,13.4,3.7,-6.4,1.06,0.0,0.0,3.0
170016,UNIVERSITY OF KANSAS HEALTH SYSTEM - ST FRANCIS CAMPUS,13.0,3.0,-24.3,1.0,0.0,1.0,2.0
170104,ADVENTHEALTH SHAWNEE MISSION,12.4,3.7,-4.0,1.02,2.0,1.0,4.0
